date, infected, hospitalizations, beds, deaths, infected, totalPopulation
03/05/20, 0, 0, 226, 0, 0, 181215
03/09/20, 0, 0, 226, 0, 0, 181215
03/13/20, 0, 0, 226, 0, 0, 181215
03/17/20, 0, 0, 226, 0, 0, 181215
03/21/20, 0, 0, 226, 0, 0, 181215
03/25/20, 63, 2, 226, 0, 63, 181215
03/29/20, 175, 7, 226, 0, 175, 181215
04/02/20, 301, 12, 226, 1, 301, 181215
04/06/20, 456, 18, 226, 3, 456, 181215
04/10/20, 456, 18, 226, 3, 456, 181215
04/14/20, 1045, 24, 226, 3, 1045, 181215
04/18/20, 2306, 48, 226, 5, 2306, 181215
04/22/20, 4965, 104, 226, 10, 4965, 181215
04/26/20, 10190, 222, 226, 22, 10190, 181215
04/30/20, 19066, 446, 226, 51, 19066, 181215
05/04/20, 30520, 807, 226, 112, 30520, 181215
05/08/20, 39475, 1260, 226, 218, 39475, 181215
05/12/20, 40690, 1658, 226, 372, 40690, 181215
05/16/20, 34499, 1860, 226, 564, 34499, 181215
05/20/20, 25424, 1840, 226, 775, 25424, 181215
05/24/20, 17079, 1666, 226, 983, 17079, 181215
05/28/20, 10819, 1424, 226, 1175, 10819, 181215
06/01/20, 6608, 1177, 226, 1344, 6608, 181215
06/05/20, 3948, 957, 226, 1488, 3948, 181215
06/09/20, 2328, 774, 226, 1607, 2328, 181215
06/13/20, 1363, 628, 226, 1702, 1363, 181215
06/17/20, 795, 513, 226, 1782, 795, 181215
06/21/20, 464, 423, 226, 1849, 464, 181215
06/25/20, 271, 352, 226, 1905, 271, 181215
06/29/20, 159, 296, 226, 1952, 159, 181215
07/03/20, 94, 251, 226, 1991, 94, 181215
07/07/20, 56, 214, 226, 2024, 56, 181215
